Case qj == j - 2: k=1, m=0, j=5, yk=3.0, qj=3, binStr=0111: 0.0
Case qj == j - 2: k=29, m=2, j=5, yk=2.8823037615171174e+17, qj=3, binStr=011: 4.270079646692026e+16
Case qj == j - 2: k=29, m=0, j=6, yk=2.8823037615171174e+17, qj=4, binStr=01111: 1.4233598822306752e+16
Case qj == j - 2: k=29, m=1, j=6, yk=2.8823037615171174e+17, qj=4, binStr=1101: 1.4233598822306752e+16
Case qj == j - 2: k=29, m=2, j=6, yk=2.8823037615171174e+17, qj=4, binStr=1011: 1.4233598822306752e+16
Case qj == j - 2: k=29, m=3, j=6, yk=2.8823037615171174e+17, qj=4, binStr=0111: 1.4233598822306752e+16
Case qj == j - 2: k=29, m=0, j=7, yk=2.8823037615171174e+17, qj=5, binStr=011111: 4744532940768917.0
Case qj == j - 2: k=29, m=1, j=7, yk=2.8823037615171174e+17, qj=5, binStr=11101: 4744532940768917.0
Case qj == j - 2: k=29, m=2, j=7, yk=2.8823037615171174e+17, qj=5, binStr=11011: 4744532940768917.0
Case qj == j - 2: k=29, m=3, j=7, yk=2.8823037615171174e+17, qj=5, binStr=10111: 4744532940768917.0
Case qj == j - 2: k=29, m=4, j=7, yk=2.8823037615171174e+17, qj=5, binStr=01111: 4744532940768917.0
Case qj == j - 2: k=29, m=6, j=10, yk=2.8823037615171174e+17, qj=8, binStr=10111111: 175723442250700.0
Case qj == j - 2: k=29, m=6, j=11, yk=2.8823037615171174e+17, qj=9, binStr=110111111: 58574480750233.0
Case qj == j - 2: k=29, m=6, j=12, yk=2.8823037615171174e+17, qj=10, binStr=1110111111: 19524826916744.0
Case qj == j - 2: k=30, m=0, j=5, yk=1.152921504606847e+18, qj=3, binStr=0111: 1.7080318586768102e+17
Case qj == j - 2: k=30, m=1, j=5, yk=1.152921504606847e+18, qj=3, binStr=101: 1.7080318586768102e+17
Case qj == j - 2: k=30, m=2, j=5, yk=1.152921504606847e+18, qj=3, binStr=011: 1.7080318586768102e+17
Case qj == j - 2: k=30, m=0, j=6, yk=1.152921504606847e+18, qj=4, binStr=01111: 5.693439528922701e+16
Case qj == j - 2: k=30, m=1, j=6, yk=1.152921504606847e+18, qj=4, binStr=1101: 5.693439528922701e+16
Case qj == j - 2: k=30, m=2, j=6, yk=1.152921504606847e+18, qj=4, binStr=1011: 5.693439528922701e+16
Case qj == j - 2: k=30, m=3, j=6, yk=1.152921504606847e+18, qj=4, binStr=0111: 5.693439528922701e+16
Case qj == j - 2: k=30, m=0, j=7, yk=1.152921504606847e+18, qj=5, binStr=011111: 1.897813176307567e+16
Case qj == j - 2: k=30, m=1, j=7, yk=1.152921504606847e+18, qj=5, binStr=11101: 1.897813176307567e+16
Case qj == j - 2: k=30, m=2, j=7, yk=1.152921504606847e+18, qj=5, binStr=11011: 1.897813176307567e+16
Case qj == j - 2: k=30, m=3, j=7, yk=1.152921504606847e+18, qj=5, binStr=10111: 1.897813176307567e+16
Case qj == j - 2: k=30, m=4, j=7, yk=1.152921504606847e+18, qj=5, binStr=01111: 1.897813176307567e+16
Case qj == j - 2: k=30, m=0, j=8, yk=1.152921504606847e+18, qj=6, binStr=0111111: 6326043921025223.0
Case qj == j - 2: k=30, m=1, j=8, yk=1.152921504606847e+18, qj=6, binStr=111101: 6326043921025223.0
Case qj == j - 2: k=30, m=2, j=8, yk=1.152921504606847e+18, qj=6, binStr=111011: 6326043921025223.0
